agent,opponent,K,agent_role,who_starts,seed,W,D,L,n_games
DQN,Algorithm,0,2,opponent,3,0,0,200,200
DQN,Algorithm,0,2,opponent,4,0,0,200,200
DQN,Algorithm,2,1,agent,0,24,94,82,200
DQN,Algorithm,2,1,agent,1,27,97,76,200
DQN,Algorithm,2,1,agent,2,25,91,84,200
DQN,Algorithm,2,1,agent,3,23,99,78,200
DQN,Algorithm,2,1,agent,4,34,93,73,200
DQN,Algorithm,2,2,opponent,0,1,67,132,200
DQN,Algorithm,2,2,opponent,1,4,53,143,200
DQN,Algorithm,2,2,opponent,2,3,49,148,200
DQN,Algorithm,2,2,opponent,3,1,62,137,200
DQN,Algorithm,2,2,opponent,4,4,77,119,200
DQN,Algorithm,4,1,agent,0,75,69,56,200
DQN,Algorithm,4,1,agent,1,69,71,60,200
DQN,Algorithm,4,1,agent,2,70,58,72,200
DQN,Algorithm,4,1,agent,3,65,73,62,200
DQN,Algorithm,4,1,agent,4,70,73,57,200
DQN,Algorithm,4,2,opponent,0,10,40,150,200
DQN,Algorithm,4,2,opponent,1,5,46,149,200
DQN,Algorithm,4,2,opponent,2,5,34,161,200
DQN,Algorithm,4,2,opponent,3,5,43,152,200
DQN,Algorithm,4,2,opponent,4,11,35,154,200
DQN,Minimax,0,1,agent,0,0,84,116,200
DQN,Minimax,0,1,agent,1,0,102,98,200
DQN,Minimax,0,1,agent,2,0,102,98,200
DQN,Minimax,0,1,agent,3,0,80,120,200
DQN,Minimax,0,1,agent,4,0,90,110,200
DQN,Minimax,0,2,opponent,0,0,84,116,200
DQN,Minimax,0,2,opponent,1,0,85,115,200
DQN,Minimax,0,2,opponent,2,0,92,108,200
DQN,Minimax,0,2,opponent,3,0,88,112,200
DQN,Minimax,0,2,opponent,4,0,80,120,200
DQN,Minimax,2,1,agent,0,39,68,93,200
DQN,Minimax,2,1,agent,1,38,78,84,200
DQN,Minimax,2,1,agent,2,39,70,91,200
DQN,Minimax,2,1,agent,3,29,79,92,200
DQN,Minimax,2,1,agent,4,41,68,91,200
DQN,Minimax,2,2,opponent,0,0,29,171,200
DQN,Minimax,2,2,opponent,1,0,22,178,200
DQN,Minimax,2,2,opponent,2,0,22,178,200
DQN,Minimax,2,2,opponent,3,0,26,174,200
DQN,Minimax,2,2,opponent,4,0,31,169,200
DQN,Minimax,4,1,agent,0,95,60,45,200
DQN,Minimax,4,1,agent,1,84,59,57,200
DQN,Minimax,4,1,agent,2,69,49,82,200
DQN,Minimax,4,1,agent,3,83,61,56,200
DQN,Minimax,4,1,agent,4,75,63,62,200
DQN,Minimax,4,2,opponent,0,5,23,172,200
DQN,Minimax,4,2,opponent,1,10,26,164,200
DQN,Minimax,4,2,opponent,2,8,13,179,200
DQN,Minimax,4,2,opponent,3,9,22,169,200
DQN,Minimax,4,2,opponent,4,6,27,167,200
SARSA,Random,0,1,agent,0,181,11,8,200
SARSA,Random,0,1,agent,1,183,11,6,200
SARSA,Random,0,1,agent,2,184,9,7,200
SARSA,Random,0,1,agent,3,187,9,4,200
SARSA,Random,0,1,agent,4,181,13,6,200
SARSA,Random,0,2,opponent,0,119,21,60,200
SARSA,Random,0,2,opponent,1,133,24,43,200
SARSA,Random,0,2,opponent,2,136,27,37,200
SARSA,Random,0,2,opponent,3,122,24,54,200
SARSA,Random,0,2,opponent,4,130,28,42,200
SARSA,Random,2,1,agent,0,142,24,34,200
SARSA,Random,2,1,agent,1,152,26,22,200
SARSA,Random,2,1,agent,2,145,23,32,200
SARSA,Random,2,1,agent,3,144,29,27,200
SARSA,Random,2,1,agent,4,136,29,35,200
SARSA,Random,2,2,opponent,0,103,27,70,200
SARSA,Random,2,2,opponent,1,111,21,68,200
SARSA,Random,2,2,opponent,2,93,37,70,200
SARSA,Random,2,2,opponent,3,105,34,61,200
SARSA,Random,2,2,opponent,4,100,31,69,200
